id,name,province,lat_actual,long_actual,lat_origin,long_origin
895,Little Gold Creek,YT,64.085708,-141.000684,64.084227,-141.020126
892,Beaver Creek,YT,62.408797,-140.85943,62.417684,-140.854782
891,Pleasant Camp,BC,59.454073,-136.364616,59.448415,-136.355085
893,Fraser,BC,59.714948,-135.046195,59.709803,-135.060275
896,Stewart,BC,55.912031,-130.016167,55.916925,-130.025982
488,Rainy River,ON,48.720588,-94.586541,48.715794,-94.596272
478,Fort Frances Bridge,ON,48.608524,-93.399916,48.60181,-93.402135
475,Pigeon River,ON,48.003661,-89.580957,47.998961,-89.592376
441,Sault Ste. Marie Bridge,ON,46.519349,-84.349447,46.51341,-84.35871
440,Sarnia (Blue Water Bridge),ON,42.993422,-82.411883,42.998149,-82.42182
452,Windsor-Detroit Tunnel,ON,42.315718,-83.036999,42.323663,-83.040198
453,Ambassador Bridge,ON,42.301273,-83.066005,42.310422,-83.073076
410,Fort Erie (Peace Bridge),ON,42.908479,-78.916813,42.906855,-78.904971
4272,Niagara Falls Rainbow Bridge,ON,43.092084,-79.069578,43.08888,-79.064737
4271,Niagara Falls Whirlpool Birdge,ON,43.10923,-79.060134,43.109755,-79.05587
456,Landsdowne (Thousand Islands Bridge),ON,44.348528,-75.984114,44.340702,-75.980317
439,Prescott,ON,44.745238,-75.468898,44.737734,-75.461544
409,Cornwall Traffic Office,ON,45.010602,-74.737349,45.00275,-74.740574
330,Dundee,QC,44.998426,-74.507923,44.994379,-74.497928
307,Trout River,QC,44.9920358,-74.3087304,44.98516,-74.303636
311,Covey Hill,QC,44.994252,-74.085962,44.986008,-74.084315
333,Hemmingford,QC,45.004748,-73.603422,44.998686,-73.594352
302,Herdman,QC,44.994231,-74.085947,44.986017,-74.08434
351,St-Bernard-de-Lacolle: Highway 15,QC,45.009266,-73.451925,45.001434,-73.453778
324,Lacolle: Route 221,QC,45.0114,-73.399156,45.003801,-73.403913
341,Lacolle: Route 223,QC,45.012593,-73.370493,45.004755,-73.368658
368,Noyan,QC,45.011649,-73.296327,45.003445,-73.295814
337,Clarenceville,QC,45.013399,-73.211327,45.005103,-73.214765
328,St-Armand/Philipsburg,QC,45.016525,-73.084195,45.008877,-73.085695
367,Morses Line,QC,45.014692,-72.978078,45.00695,-72.979396
332,Frelighsburg,QC,45.016681,-72.825072,45.007555,-72.824508
369,East Pinnacle,QC,45.015835,-72.700084,45.010654,-72.691623
318,Abercorn,QC,45.015805,-72.662406,45.007463,-72.660251
370,Glen Sutton,QC,45.013134,-72.587132,45.008496,-72.589507
334,Highwater,QC,45.008233,-72.416692,45.000456,-72.411814
376,Stanstead(Beebe),QC,45.00595,-72.142054,44.998897,-72.135362
375,Stanstead(Rte 143),QC,45.006476,-72.098847,44.999092,-72.103839
314,Stanstead(55),QC,45.006421,-72.087452,45.001226,-72.096345
354,Stanhope,QC,45.0137,-71.790699,45.009949,-71.794349
366,Hereford Road,QC,45.013094,-71.560592,45.007309,-71.555942
362,East Hereford,QC,45.014768,-71.505106,45.006368,-71.50833
365,Chartierville,QC,45.253721,-71.205572,45.247329,-71.196817
308,Woburn,QC,45.378687,-70.808529,45.383873,-70.800081
329,Armstrong,QC,45.8064,-70.397269,45.804352,-70.386158
339,Ste-Aurelie,QC,46.207548,-70.276414,46.207861,-70.264349
336,St-Just-de-Bretenieres,QC,46.546395,-70.031797,46.545342,-70.018683
335,St-Pamphile,QC,46.942739,-69.750714,46.937935,-69.743397
331,Pohenegamook,QC,47.456253,-69.228501,47.450067,-69.234623
216,Clair,NB,47.250413,-68.605646,47.248269,-68.602354
213,Edmunston,NB,47.362104,-68.328298,47.356187,-68.328677
218,St. Leonard,NB,47.160898,-67.929655,47.154033,-67.929739
217,Grand Falls,NB,47.059674,-67.789296,47.066909,-67.797152
219,Gillespie Portage,NB,46.924718,-67.789219,46.923181,-67.794504
203,Four Falls,NB,46.823483,-67.789123,46.814677,-67.789715
214,Andover,NB,46.764875,-67.7885,46.767635,-67.801245
226,River de Chute,NB,46.600257,-67.787371,46.604498,-67.7974
215,Centreville,NB,46.450398,-67.783635,46.448322,-67.791178
200,Bloomfield,NB,46.317538,-67.7824,46.317545,-67.787862
212,Woodstock Road,NB,46.13765,-67.7784,46.134567,-67.781612
220,Fosterville,NB,45.816676,-67.779421,45.818091,-67.790671
222,Forest City,NB,45.66342,-67.728256,45.657371,-67.727103
205,St. Croix,NB,45.568213,-67.427582,45.567795,-67.429814
231,St. Stephen 3rd Bridge,NB,45.16136,-67.307517,45.161431,-67.291271
230,Milltown,NB,45.1706,-67.297061,45.168635,-67.293083
211,St. Stephen (Ferry Point Bridge),NB,45.192418,-67.283405,45.1894,-67.2822
225,Campobello,NB,44.860361,-66.976396,44.858509,-66.983145
