date,time,id,name,traffic,baseline
13-Jul-2021,13_01_07,840,Douglas,86,86
13-Jul-2021,13_01_07,813,Pacific Highway,172,173
13-Jul-2021,13_01_07,841,Aldergrove,680,708
13-Jul-2021,13_01_07,817,Abbostford-Huntingdon,223,205
13-Jul-2021,13_01_07,836,Chopaka,71,71
13-Jul-2021,13_01_07,819,Osoyoos,114,130
13-Jul-2021,13_01_07,835,Midway,18,19
13-Jul-2021,13_01_07,834,Carson,71,72
13-Jul-2021,13_01_07,816,Cascade,110,110
13-Jul-2021,13_01_07,832,Paterson,142,144
13-Jul-2021,13_01_07,833,Waneta,58,59
13-Jul-2021,13_01_07,828,Nelway,56,56
13-Jul-2021,13_01_07,822,Rykerts,128,129
13-Jul-2021,13_01_07,818,Kingsgate,214,214
13-Jul-2021,13_01_07,824,Roosville,114,126
13-Jul-2021,13_01_07,709,Chief Mountain,54,55
13-Jul-2021,13_01_07,707,Carway,102,102
13-Jul-2021,13_01_07,708,Del Bonita,150,151
13-Jul-2021,13_01_07,705,Coutts,157,173
13-Jul-2021,13_01_07,706,Aden,74,75
13-Jul-2021,13_01_07,711,Wild Horse,140,141
13-Jul-2021,13_01_07,621,Willow Creek,35,36
13-Jul-2021,13_01_07,619,Climax,94,95
13-Jul-2021,13_01_07,620,Monchy,65,65
13-Jul-2021,13_01_07,618,West Poplar,42,42
13-Jul-2021,13_01_07,615,Coronach,146,146
13-Jul-2021,13_01_07,607,Regway,164,165
13-Jul-2021,13_01_07,616,Oungre,117,117
13-Jul-2021,13_01_07,617,Torquay,48,48
13-Jul-2021,13_01_07,610,Estevan Highway,175,176
13-Jul-2021,13_01_07,602,North Portal,391,280
13-Jul-2021,13_01_07,613,Northgate,121,117
13-Jul-2021,13_01_07,612,Carievale,88,89
13-Jul-2021,13_01_07,523,Lyleton,122,122
13-Jul-2021,13_01_07,524,Coulter,143,144
13-Jul-2021,13_01_07,508,Goodlands,64,65
13-Jul-2021,13_01_07,507,Boissevain,183,160
13-Jul-2021,13_01_07,522,Lena,44,44
13-Jul-2021,13_01_07,521,Cartwright,205,205
13-Jul-2021,13_01_07,520,Crystal City,44,44
13-Jul-2021,13_01_07,509,Snowflake,63,63
13-Jul-2021,13_01_07,506,South Junction,80,80
13-Jul-2021,13_01_07,519,Windygates,175,176
13-Jul-2021,13_01_07,518,Winkler,167,168
13-Jul-2021,13_01_07,503,Gretna,157,158
13-Jul-2021,13_01_07,502,Emerson,160,142
13-Jul-2021,13_01_07,516,Tolstoi,88,89
13-Jul-2021,13_01_07,517,Piney,108,109
13-Jul-2021,13_01_07,505,Sprague,85,82
13-Jul-2021,13_02_02,815,Boundary Bay,60,63
13-Jul-2021,13_02_02,840,Douglas,86,86
13-Jul-2021,13_02_02,813,Pacific Highway,172,173
13-Jul-2021,13_02_02,841,Aldergrove,681,708
13-Jul-2021,13_02_02,817,Abbostford-Huntingdon,223,205
13-Jul-2021,13_02_02,836,Chopaka,71,71
13-Jul-2021,13_02_02,819,Osoyoos,114,130
13-Jul-2021,13_02_02,835,Midway,18,19
13-Jul-2021,13_02_02,834,Carson,71,72
13-Jul-2021,13_02_02,816,Cascade,110,110
13-Jul-2021,13_02_02,832,Paterson,142,144
13-Jul-2021,13_02_02,833,Waneta,58,59
13-Jul-2021,13_02_02,828,Nelway,56,56
13-Jul-2021,13_02_02,822,Rykerts,128,129
13-Jul-2021,13_02_02,818,Kingsgate,214,214
13-Jul-2021,13_02_02,824,Roosville,114,126
13-Jul-2021,13_02_02,709,Chief Mountain,54,55
13-Jul-2021,13_02_02,707,Carway,102,102
13-Jul-2021,13_02_02,708,Del Bonita,150,151
13-Jul-2021,13_02_02,705,Coutts,156,173
13-Jul-2021,13_02_02,706,Aden,74,75
13-Jul-2021,13_02_02,711,Wild Horse,140,141
13-Jul-2021,13_02_02,621,Willow Creek,35,36
13-Jul-2021,13_02_02,619,Climax,94,95
13-Jul-2021,13_02_02,620,Monchy,65,65
13-Jul-2021,13_02_02,618,West Poplar,42,42
13-Jul-2021,13_02_02,615,Coronach,146,146
13-Jul-2021,13_02_02,607,Regway,164,165
13-Jul-2021,13_02_02,616,Oungre,117,117
13-Jul-2021,13_02_02,617,Torquay,48,48
13-Jul-2021,13_02_02,610,Estevan Highway,175,176
13-Jul-2021,13_02_02,602,North Portal,391,280
13-Jul-2021,13_02_02,613,Northgate,121,117
13-Jul-2021,13_02_02,612,Carievale,88,89
13-Jul-2021,13_02_02,523,Lyleton,122,122
13-Jul-2021,13_02_02,524,Coulter,143,144
13-Jul-2021,13_02_02,508,Goodlands,64,65
13-Jul-2021,13_02_02,507,Boissevain,183,160
13-Jul-2021,13_02_02,522,Lena,44,44
13-Jul-2021,13_02_02,521,Cartwright,205,205
13-Jul-2021,13_02_02,520,Crystal City,44,44
13-Jul-2021,13_02_02,509,Snowflake,63,63
13-Jul-2021,13_02_02,519,Windygates,175,176
13-Jul-2021,13_02_02,518,Winkler,167,168
13-Jul-2021,13_02_02,503,Gretna,157,158
